135	Lychnos	1	http://www.vethist.idehist.uu.se/lychnos/index.php?lang=eng	0076-1648	Swedish	Lychnos	Annual of the Swedish History of Science Society\n<Ao>rsbok f<o">r id<e'>- och l<a">rdomshistoria	Swedish Science Press
136	Manguinhos	3	http://www.scielo.br/scielo.php?script=sci_serial&pid=0104-5970&lng=en&nrm=iso	0104-5970	portuguese, spanish	História, Ciências, Saúde---Manguinhos	Manguinhos	Casa de Oswald
142	Metascience	3	http://www.kluweronline.com/issn/0815-0796	0815-0796 	English	Metascience: An International Review Journal for the History, Philosophy and Social Studies of Science	Metascience: An International Review Journal for the History, Philosophy and Social Studies of Science\n	Kluwer
143	MHNH	 	Http://www.uco.es/dptos/c-antiguedad/griego/tablon/magia.htm	1578-4517	 English, French, German, Italian, Latin, Portuguese, Spanish	MHNH (Revista Internacional de Investigación sobre Magia y Astrología Antiguas) 		
144	Micrologus	1	Http://www.brepols.net/publishers/periodicals.htm#Micrologus	1123-2560	French, Italian	Micrologus: Natura, Scienze e Società Medievali	Micrologus: natura, scienze e società medievali: nature, sciences, and medieval societies	Brepols Publishers
146	Minerva	4	http://www.kluweronline.com/issn/0026-4695	0026-4695	English	Minerva: A Review of Science, Learning and Policy	Minerva: A Review of Science, Learning and Policy	kluwer
148	Neusis		http://sat1.space.noa.gr/hellinomnimon/neusis.htm			Neusis: The Greek Journal for the History and Philosophy of Science and Technology	Hexameniaio periodiko historias kai philosophias tes epistemes kai tes technologias.	NEFELI Publications
152	Notes Rec. Roy. Soc. Lond.	4	Http://www.pubs.royalsoc.ac.uk/not_rec/notes_records.html	0035-9149	English	Notes and Records of the Royal Society	Notes and Records of the Royal Society of London;\nNotes and Records of the Royal Society: A Journal of the History of Science	Royal Society
154	NTM	4	http://www.birkhauser.ch/journals/4800/4800_tit.htm	0036-6978	German, English, French	NTM: Zeitschrift für Geschichte der Naturwissenschaften, Technik und Medizin	<shelved Under>Naturwissenshaften...\nInternatiale Zeitschrift f<u"> Geschichte und Ethik der Naturwissenschaften, Technik und Medizin\nInterational Journal of the History and Ethics of Natural Sciences, Technology and Medicine	Birkhaeuser Verlag AG
155	Nuncius	2	http://www.imss.firenze.it/pubblic/enuncius.html	0394-7394	Italian	Nuncius: Annali di Storia della Scienza	Nuncius: Annali di Storia della Scienza\n	Casa Editrice Leo S. Olschki
156	Osiris	1	http://www.journals.uchicago.edu/Osiris/home.html	0369-7827	English	Osiris: A Research Journal Devoted to the History of Science and Its Cultural Influences	Osiris (Chicago): a research journal devoted to the history of science and its cultural influences	University of Chicago Press
159	Perspect. Sci.	4	http://mitpress.mit.edu/catalog/item/default.asp?ttype=4&tid=1	1063-6145	English	Perspectives on Science		MIT press
161	Phil. Natur.	2	Http://www.klostermann.de/zeitsch/phna_391.htm	0031-8027	German, English	Philosophia Naturalis		Vittorio Klostermann
163	Phys. Persp.	4	http://link.springer.de/link/service/journals/00016/	1422-6944	English	Physics in Perspective		springer
166	Physis	2	http://www.olschki.it/riviste/physis.htm	0031-9414	English, French, German, Italian, Spanish	Physis: Rivista Intemazionale di Storia della Scienza	Physis: Rivista Intemazionale di Stotia della Scienza\n	Casa Editrice Leo S. Olschki
171	Public Underst. Sci.	4	http://pus.sagepub.com/	0963-6625	English	Public Understanding of Science		Sage
180	Rev. Quest. Sci.	4		0035-2160	French, English	Revue des Questions Scientifiques		Societe Scientifique de Bruxelles
181	Rev. Hist. Sci.	2	Http://www.puf.com	0151-4105	French 	Revue d'Histoire des Sciences		Presses Universitaires de France
182	Rittenhouse	2	http://www.rittenhousejournal.org/			Rittenhouse: Journal of the American Scientific Instrument Enterprise	Rittenhouse: Joumal of the American Scientific Instrument Enterprise\n	
184	Saber Tiempo	2		0328-6584		Saber y Tiempo: Revista de Historia de la Ciencia\n	Saber y Tiempo: Revista de Historia de la Ciencia\n	Asociación Biblioteca José Babini. 
185	Sciamvs	1	Http://www.sciamvs.org	1345-4617	English	Sciamvs: Sources and Commentaries in Exact Sciences		Sciamvs
190	Sci. Cult.	4	http://human-nature.com/science-as-culture/	0950-5431	English	Science as Culture		carfax publishing taylor and francis group
191	Sci. Context	4	http://titles.cambridge.org/journals/journal_catalogue.asp?historylinks=ALPHA&mnemonic=SIC	0269-8897	English	Science in Context		Cambridge University Press
193	Sci. Tech. Hum. Val.	4	http://www.sagepub.co.uk/frame.html?http://www.sagepub.co.uk/journals/details/j0194.html	0162-2439	English	Science, Technology and Human Values	Science, Technology & Human Values	Sage Publications, Inc.
194	Sci. Canadensis	1	http://www.cstha-ahstc.ca/scientia_canadensis/english/home.htm	0829-2507	English, French	Scientia Canadensis: Journal of the History of Canadian Science, Technology, and Medicine	Scientia Canadensis: Journal of the History of Canadian Science, Technology, and Medicine	
204	Soc. Stud. Sci.	6	http://sss.sagepub.com/	0306-3127	English	Social Studies of Science		Sage Publications Ltd.
208	Stud. Hist. Phil. Mod. Phys.	4	http://www.elsevier.com/locate/issn/13552198	1355-2198	English	Studies in History and Philosophy of Science Part B: Studies in History and Philosophy of Modern Physics	<shelved under>Studies in History and Philosophy of Modern Physics	Elsevier
209	Stud. Hist. Phil. Biol. Biomed. Sci.	4	http://www.elsevier.com/locate/issn/13698486	1369-8486	English	Studies in History and Philosophy of Science Part C: Studies in History and Philosophy of Biological and Biomedical Sciences	<shelfed under>Studies in History and Philosophy of Biological and Biomedical Sciences	Elsevier
212	Sudhoffs Arch.	2	http://www.steiner-verlag.de/Sudhoff/	0039-4564	English, French, German	Sudhoffs Archiv: Zeitschrift fuer Wissenschaftsgeschichte	Sudhoffs Archiv: Zeitschrift fuer Wissenschaftsgeschichte	Franz Steiner Verlag Stuttgart GmbH
213	Suhayl			1576-9372	English, Arabic	Suhayl: Journal for the History of the Exact and Natural Sciences in Islamic Civilisation	Journal for the History of the Exact and Natural Sciences in Islamic Civilisation	Universitat de Barcelona, Barcelona
221	Trans. Newcomen Soc.	2	http://www.newcomen.com/cont.htm	0372-0187	English	Transactions of the Newcomen Society		Newcomen Society for the Study of the History of Engineering and Technology
234	VIET			0205-9606		VIET: Voprosy Istorii Estestvoznaniia i Tekhniki	VIET\nIssues in the History of Science and Technology	
241	Mitt. Ges. Deut. Chem. Fachgr. Gesch. Chem.	irr		0934-8506	geran	Mitteilungen der Gesellschaft Deutscher Chemiker, Fachgruppe Geschichte der Chemie	Gesellschaft Deutscher Chemiker, Fachgruppe Geschichte der Chemie	
257	Zhongguo Keji Shiliao	4		1000-0798	chinese	Zhongguo Keji Shiliao (China Historical Materials of Science and Technology)	Historical Material of Chinese Science and Technology	Zhongguo Kexue Jishu Xuehui
258	Ziran Kexueshi Yanjiu	4		1000-0224	Chinese	Ziran Kexueshi Yanjiu (Studies in the History of Natural Sciences)	Studies in the History of Natural Sciences \nZiran Kexue Shi Yanjiu	Kexue Chubanshe
265	Monograf. Dziejow Nauki Tech.	irr		0077-054X	Polish	Monografie z Dziejow Nauki i Techniki		Polska Akademia Nauk, Instytut Historii Nauki
266	Organon	irr		0078-6500	English, French, German, Italian, Russian	Organon: International Review	Organon: International Review [Institut d'Histoire de la Science et de la Technique auprès de l'Academie Polonaise des Sciences]\n	Polska Akademia Nauk, Instytut Historii Nauki
274	Rev. Hist. Math.	2	http://smf.emath.fr/Publications/RevueHistoireMath/	1262-022X	English, French	Revue d'Histoire des Mathématiques	Revue d'histoire des mathematiques	Societe Mathematique de France
280	Z. Gesch. Arab.-Islam. Wiss.	1		0179-4639	Arabic, English, French, German	Zeitschrift für Geschichte der Arabisch-Islamischen Wissenschaften	Majallat t¯ar¯ikh al-‘ul¯um al-‘Arab¯iyah wa-al-Isl¯am¯iyah\nZeitschrift fur Geschichte der Arabisch-Islamischen Wissenschaften	Institut fuer Geschichte der Arabisch-Islamischen Wissenschaften
400	Bull. Sci. Instr. Soc.	4	http://www.sis.org.uk/	0956-8271	English	Bulletin of the Scientific Instrument Society	SIS Bulletin	Scientific Instrument Society
476	Bull. Hist. Archaeol.					Bulletin of the History of Archaeology		
496	Chem. Heritage	4		0736-4555	english	Chemical Heritage		
703	Mathesis		http://lancelot.fciencias.unam.mx/actual.htm	0185-6200		Mathesis: Filosofía e Historia de las Matemáticas		
1001	Asian Med.	2	http://www.brill.nl/default.aspx?partid=10&mcid=2&scid=303&pid=22461	1573-420X	english	Asian Medicine: Tradition and Modernity		Brill
1021	Chinese J. Hist. Sci. Tech.			1673-1441	Chinese	Chinese Journal for the History of Science and Technology		
1032	Beit. Gesch. Geophy. Kos. Phys.			1615-2628	german	Beiträge zur Geschichte der Geophysik und Kosmischen Physik		Bremen: Science Edition
1121	Aestimatio		http://www.ircps.org/publications/aestimatio/aestimatio.htm	1549-4497		Aestimatio: Critical Reviews in the History of Science	Aestimatio: Critical Reviews in the History of Science	
1126	Noesis	1		1223-4249	english, french	Noesis: Travaux du Comité Roumain d'Histoire et de Philosophie des Sciences	Noesis: travaux du Comité roumain d'histoire et de philosophie des sciences	
1140	Azogue	irr		1575-8184	spanish	Azogue: Revista Electrónica Dedicada al Estudio Histórico-Crítico de la Alquimia	Revista Electrónica dedicada al Estudio Histórico-Crítico de la Alquimia	
1142	Circumscribere	1 or 2	http://revistas.pucsp.br/index.php/circumhc/index	1980-7651	English, Portuguese	Circumscribere: International Journal for the History of Science		Center Simão Mathias for Studies in the History of Science
1150	Brit. Soc. Hist. Math. Bull.		http://www.informaworld.com/smpp/title~content=t741771156~link=cover	1749-8430	English	British Society for the History of Mathematics Bulletin	BSHM Bulletin; formerly BHSM Newsletter	
1155	Hist. Stud. Nat. Sci.	4	http://www.ucpress.edu/journals/hsps/	1939-1811	English	Historical Studies in the Natural Sciences	formerly Historical Studies in the Physical and Biological Sciences	University of Californa Press
1157	East Asian STS		http://sts.nthu.edu.tw/easts/abouteasts.htm		English	East Asian Science, Technology and Society: An International Journal		
1159	Hist. & Meas.		http://histoiremesure.revues.org/			Histoire & Mesure		
1161	Osmanli Bilimi Arast.		http://www.bilimtarihi.org/OBA/oba.htm			Osmanli Bilimi Arastirmalari: Studies in Ottoman Science		Istanbul Universitesi, Edebiyat Fakültesi
1162	Galilæana		http://www.imss.fi.it/istituto/galilaeana/indice.html			Galilæana: Journal of Galilean Studies		Istituto e museo di storia della scienza (Italy)
1163	Rutherford J.		http://www.rutherfordjournal.org/index.html			Rutherford Journal: The New Zealand Journal for the History and Philosophy of Science and Technology		
1164	J. Elec. Hist. Prob. Stat.		http://www.jehps.net/	1773-0074		Journal Electronique d'Histoire des Probabilités et de la Statistique	Electronic Journ@l for History of Probability and Statistics	Ecole des Hautes Etudes en Sciences Sociales, Laboratoire de Probabilités et Modélisation Aléatoire
1165	HOST		http://johost.eu/			HOST: Journal of History of Science and Technology		
1169	Studium	4		0928-303X-new	Dutch	Studium: Tijdschrift voor Wetenschaps- en Universiteitgeschiedenis	Studium: Tijdschrift voor Wetenschaps- en Universiteitgeschiedenis / Revue de l'Histoire des Sciences et des Universités\n--->Continuation of "Gewina"	Erasmus Publishing B.V.
1174	Hist. Meteor.			1555-5763	English	History of Meteorology		
1178	Kritiki		http://www.hpdst.gr/publications/kritiki		English/Greek	Kritiki: Critical Science & Education	Journal of Radical Approaches to Sciences and Education 	
1209	Eng. Stud.	3 times a year	http://www.informaworld.com/smpp/title~db=all~content=t792815951	1937-8629	English	Engineering Studies		Routledge
1285	Spontan. Gen.	annual	http://spontaneousgenerations.library.utoronto.ca/index.php/SpontaneousGenerations/index	1913-0465	English	Spontaneous Generations		University of Toronto
3076	Globusfreund	annual	http://www.coronelli.org/publikationen/globusfreund.html	0436-0664	German	Der Globusfreund: Wissenschaftliche Zeitschrift für Globen- und Instrumentenkunde		Coronelli-Weltbund der Globusfreunde
3097	Ist.-biol. Issledovaniia			2076-8176	Russian	Istoriko-biologicheskie issledovaniia		
3179	RSC Historical Group Newsletter	Biannual	http://www.chem.qmul.ac.uk/rschg/index.html#contents		English	Royal Society of Chemistry Historical Group Newsletter		
3180	RSC Historical Group Occasional Papers		http://www.chem.qmul.ac.uk/rschg/Newsl.html#0908	2050-0424	English	Royal Society of Chemistry Historical Group Occasional Papers		
3188	Annal. Sci. École Norm. Sup. 		http://www.math.ens.fr/edition/annales/v44-2011.html	0012-9593	French 	Annales scientifiques de l'École normale supérieure 		
2	Acta Hist. Astron.	0	http://www.astro.uni-bonn.de/~pbrosche/aa/acta/	1422-8521	English, German	Acta Historica Astronomiae		Verlag Harri Deutsch
21	Archaeoastronomy J. Astro. Cult.	1	http://www.utexas.edu/utpress/journals/jarch.html	0190-9940	English	Archaeoastronomy: The Journal of Astronomy in Culture	Archaeoastronomy: The Journal of Astronomy in Culture\nArchaeoastronomy: Journal of the Center for Archaeoastronomy ( is this the same)	university of texas press 
30	Biol. & Phil.	5	http://www.kluweronline.com/issn/0169-3867	0169-3867	English	Biology and Philosophy		Kluwer
34	Brit. J. Phil. Sci.	4	http://www3.oup.co.uk/phisci/	0007-0882	English	British Journal for the Philosophy of Science		Oxford University Press       
58	Éndoxa	2		1133-5351	Spanish	Éndoxa	Éndoxa (Universidad Nacional de Educacion a Distancia, Madrid)\nEndoxa	Universidad Nacional de Educacion a distanica
93	HYLE	2	http://www.hyle.org/index.html	1433-5158 	English	Hyle	HYLE-International Journal for Philosophy of Chemistry	University of Karlsruhe, Institute of Philosophy
179	Rev. Syn.	4	http://www.albin-michel.fr/	0035-1776	French 	Revue de Synthèse		Editions Albin Michel
211	Stud. Hist. Phil. Sci.	4	http://www.elsevier.com/locate/issn/00393681	0039-3681	English	Studies in History and Philosophy of Science		Pergamon
215	Taiwan. J. Stud. Sci. Tech. Med.	2		1022-4874	Chinese, English	Taiwanese Journal for Studies of Science, Technology, and Medicine	Ke ji , yi liao yu she hui\nKeji, Yiliao yu Shehui	
246	Han'guk Kwahak-sa Hakhoe-ji			1229-7895		Han'guk Kwahak-sa Hakhoe-ji (Journal of the Korean History of Science Society)		
250	Mendel Newslett.			0025-9241		Mendel Newsletter		
259	Filozofski Vest.	3	http://www.zrc-sazu.si/www/fi/filvest.htm	0353-4510	English, French, German, Slovenian	Filozofski Vestnik	Acta Philosophica\nFormerly: Institut za Marksisticne Studije. Vestnik (Yugoslavia) (0351-6881)	Zalozba Z R C
264	Biogr. Mem. Fellows Royal Soc.	1		0080-4606	English	Biographical Memoirs of Fellows of the Royal Society	Royal Society of London. Biographical Memoirs of Fellows of the Royal Society	Royal Society of London
272	Hist. Anthropol. Newslett.	2		0362-9074	English	History of Anthropology Newsletter		
314	Biogr. Mem. Nat. Acad. Sci.					Biographical Memoirs of the National Academy of Sciences		
329	Theoria (0495-4548)	3	http://www.ehu.es/servicios/se_az/pags/p37.htm	0495-4548	Spanish, English	Theoria (0495-4548)	Theoria: revista de filosofia, teoria, historia y fundamentos de la ciencia\nTheoria (Madrid)	Universidad del Pais Vasco
339	Ugglan	irr		1102-4313	Swedish, English	Ugglan	Lund Studies in the History of Sciences and Ideas	Lund university
362	Hist. Phys.	2	http://www.aip.org/history/web-news.htm	1048-1338	English	History of Physics Newsletter	Center for History of Physics Newsletter\nAmerican Institute of Physics. History Newsletter	American Institute of Physics
365	Nei Menggu Shifan Daxue Xuebao (Ziran Kexue Ban)	6			Chinese	Nei Menggu Shifan Daxue Xuebao (Ziran Kexue Ban)	Journal of Inner Mongolia Normal University (Natural Science Edition)	
374	Geohist. Bl.	2	http://geohistorische-blaetter.de/	1436-3135	German	Geohistorische Blätter	Zeitschrift des Vereins Berlin-Brandenburgische Geologie-Historiker Leopold von Buch e. V. Geohistorische Blatter	Verlag: Verlag für Geowissenschaften Berlin
511	Corpus					Corpus: Revue de Philosophie		
612	Islam. Sci. Newslett.					Islamic Science Newsletter		
677	Kagakugijutsushi					Kagakugijutsushi (The Japanese Journal for the History of Science and Technology)		
883	Stud. Hist. Mod. Math.					Studies in the History of Modern Mathematics: Supplemento di Rendiconti del Circolo Matematico di Palermo		
898	Taiwanese J. Phil. Hist. Sci.					Taiwanese Journal for the Philosophy and History of Science		
951	Stud. Dial. Natur.					Studies in Dialectics of Nature	Journal of Philosophy of Nature, Science and Technology	
1008	Rev. Hist. Sci. Hum.	2	http://scienceshumaines.com/index.php?lg=fr&page=livres&publication=6	1622-468X	French	Revue d'Histoire des Sciences Humaines	RHSH	
1177	Conecta		http://www.dsp.umh.es/conecta/	1576-4826	Spanish	Conecta: Boletin de Noticias de Historia de la Ciencia, la Medicina y la Tecnologia		
1186	Atti mem. Accad. Galilei. (Pt. 2 ... sci. mat. nat.)			0392-0755	Italian	Atti e memorie dell'Accademia Galileiana (Pt. 2, Memorie della classe di scienze matematiche e naturali)		
1188	Khimiya			0861-9255		Khimiya/Chemistry: Bulgarian Journal of Chemical Education		
1199	Bull. Pacif. Circle			1520-3581	English	Bulletin of the Pacific Circle		
1215	Eur. Phys. J. H		http://www.springer.com/physics/journal/13129	2102-6459	English	European Physical Journal H		
1218	GSA Memoirs		memoirs.gsapub.org	0072-1069	English	Geological Society of America Memoirs		
1298	HOPOS	biannuanl	http://www.jstor.org/page/journal/hopos/about.html	2152-5188	English	HOPOS		
3010	Phlogiston		http://www.muzejnt.rs/en/338		lang. help!	Phlogiston: Journal of the History of Science [Belgrade]		
3074	Bull. SHESVIE		Bulletin de la SHESVIE	?	Spanish	Bulletin d'histoire et d'èpistémologie des sciences de la vie	Bulletin d'histoire et d'èpistémologie des sciences de la vie	
3077	Cartographica Helvetica	2x per year	http://www.kartengeschichte.ch/ch/def-index0.html	1015-8480	Multiple	Cartographica Helvetica		Murten
3078	Amer. J. Math.			0002-9327		American Journal of Mathematics		
3159	Almagest	bi-annual	http://brepols.metapress.com/content/121795/?p=22493716ad9d4e26bd93811e8c0bcac0&pi=0	1792-2593	French, English	Almagest		
11	Amer. J. Phys.	12	Http://www.kzoo.edu/ajp/	0002-9505	English 	American Journal of Physics		American Association of Physics Teachers
12	Amer. Scient.	6	http://www.americanscientist.org/	0003-0996	English	American Scientist		
32	Brit. J. Hist. Phil.	3	http://www.tandf.co.uk/journals/routledge/09608788.html	0960-8788	English	British Journal for the History of Philosophy		Taylor & Francis Ltd, Routledge
44	College Math. J.	5	http://www.maa.org/pubs/cmj.html	0746-8342	English	College Mathematics Journal		Mathematical Association of America
60	Epistemologia	2	http://www.tilgher.it/epistemologiae.html	0392-9760	English, Italian	Epistemologia	Epistemologia: Rivista Italiana di Filosofia della Scienze\nEpistemologia: an Italian journal for the philosophy of science	Tilgher-Genova s.a.s.
64	Found. Sci.	4	http://www.kluweronline.com/issn/1233-1821	1233-1821	English	Foundations of Science	The official Journal of the Association for Foundations of Science, Language and Cognition	Kluwer
78	Hist. Phil. Logic	4	http://www.tandf.co.uk/journals/tf/01445340.html 	0144-5340	English 	History and Philosophy of Logic		Taylor and Francis
99	Interdiscipl. Sci. Rev.	4	http://www.materials.org.uk/publish/journals/isr/home.htm	0308-0188	English	Interdisciplinary Science Reviews		Maney Publishing
101	Int. Stud Phil Sci.	3	http://www.tandf.co.uk/journals/routledge/02698595.html	0269-8595	English	International Studies in the Philosophy of Science		Taylor & Francis
105	J. Gen. Phil. Sci.	2	http://www.kluweronline.com/issn/0925-4560/	0925-4560	English,german	Journal for General Philosophy of Science		kluwer
110	J. Chem Educ.	12	http://jchemed.chem.wisc.edu/	0021-9584	English 	Journal of Chemical Education		American Chemical Society
116	J. Med. & Phil.	6	http://www.szp.swets.nl/szp/frameset.htm	0360-5310      	English	Journal of Medicine and Philosophy		Swets & Zeitlinger BV         
124	J. Hist. Phil.	4	http://www.press.jhu.edu/press/journals/hph/hph.html 	0022-5053      	English	Journal of the History of Philosophy		Johns Hopkins Univ Press      
147	Nature	52	Http://www.nature.com/	0028-0836	English 	Nature		Nature Publishing Group
162	Phil. Sci.	5	http://www.journals.uchicago.edu/PHILSCI/home.html	0031-8248	English	Philosophy of Science		university of chicago
